Metric,Accuracy,Loss
Mean Absolute Error (MAE),0.10199,0.26348000000000005
Mean Absolute Percentage Error (MAPE),13.354434263948924,40.09616635078184
Root Mean Square Error (RMSE),0.14251705511972942,0.35612365268260404
